ts_code,error
000089.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000099.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000156.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000403.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000422.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000503.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000543.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000550.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000555.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000557.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000567.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000589.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000597.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000600.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000612.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000620.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000636.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000672.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000676.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000680.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000681.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000682.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000685.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000712.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000727.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000761.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000762.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000767.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000795.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000811.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000829.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000833.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000848.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000860.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000875.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000880.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000885.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000901.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000902.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000913.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000917.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000923.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000927.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000928.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000935.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000950.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000966.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000969.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000990.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001203.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001227.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001236.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001301.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001308.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002003.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002004.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002006.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002015.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002017.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002019.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002020.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002023.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002036.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002038.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002041.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002043.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002045.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002048.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002051.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002053.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002060.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002061.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002063.SZ,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
